Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
49964	,2	,7.55558924936	,0.699492780535	0.950036	,765.146116018
50089	,0	,4.91761813127	,0.327331691913	0.949911	,767.005225897
50237	,0	,6.37486480549	,0.5281697694	0.949763	,769.135421038
50364	,0	,5.45211435668	,0.481530510911	0.949636	,771.175715923
50527	,1	,6.71102972329	,0.405248909036	0.949473	,773.522381067
50734	,2	,8.82642159238	,0.746581310174	0.949266	,776.484124899
50867	,0	,5.79345129244	,0.466629537634	0.949133	,778.381205082
51002	,0	,5.69556054473	,0.404449310292	0.948998	,780.346920013
51138	,0	,5.79571417905	,0.513424169022	0.948862	,782.4623909
51263	,0	,5.4795980826	,0.496826531088	0.948737	,784.447551012
51403	,0	,5.87608093396	,0.40539348192	0.948597	,786.688014984
51637	,2	,10.0393116511	,0.870496264602	0.948363	,789.942842007
51767	,0	,5.72165298648	,0.512916484709	0.948233	,791.768933058
51995	,2	,9.7427809611	,0.839642330754	0.948005	,795.169984102
52133	,0	,6.03752273135	,0.543635692051	0.947867	,797.217617989
52272	,0	,5.8678816352	,0.420687915585	0.947728	,799.364100933
52468	,1	,8.06563882157	,0.499226753597	0.947532	,802.302653074
52743	,3	,11.3331986442	,0.810294344775	0.947257	,806.245132923
52884	,0	,6.1318212226	,0.482495957383	0.947116	,808.259763956
53025	,0	,5.77129114792	,0.373497381676	0.946975	,810.239790916
53159	,0	,6.14543006383	,0.682185440883	0.946841	,812.11977005
53337	,1	,7.86496405303	,0.71460054559	0.946663	,814.763454914
53497	,1	,6.88203191571	,0.591104551752	0.946503	,817.258543015
53720	,2	,9.72568092123	,0.83864353105	0.94628	,820.419065952
53861	,0	,6.01330848038	,0.467168862036	0.946139	,822.374260902
54115	,3	,10.9565242697	,0.885800748667	0.945885	,826.000365019
54280	,1	,6.95158355124	,0.514347024845	0.94572	,828.340029955
54534	,3	,10.6820387449	,0.825278698008	0.945466	,831.86301899
54714	,1	,7.55558522418	,0.560473989182	0.945286	,834.346549988
54843	,0	,5.51520858705	,0.450954851204	0.945157	,836.197458029
55023	,1	,7.64744578116	,0.576023704089	0.944977	,838.969430923
